destination_id,nama_destinasi,provinsi,kategori,rating_rata_rata,harga_tiket_dewasa,durasi_kunjungan_jam,fasilitas,deskripsi,koordinat_lat,koordinat_lng,tersedia,musim_terbaik,min_umur,total_pengunjung_tahunan
DST0016,Padar Island,Labuan Bajo,Petualangan,4.8,100000,5,"guide,perahu,toilet",Destinasi wisata petualangan unggulan di Labuan Bajo,-5.18008,114.353264,True,Mei-September,17,1081712
DST0017,Gunung Bromo,Bromo,Gunung,4.9,320000,8,"guide,toilet,warung,jeep",Destinasi wisata gunung unggulan di Bromo,-2.051074,134.663601,True,Sepanjang Tahun,5,410574
DST0018,Bukit Teletubbies,Bromo,Alam,4.6,100000,3,"guide,toilet,jeep",Destinasi wisata alam unggulan di Bromo,-4.947648,126.763782,True,April-Oktober,17,937484
DST0019,Danau Toba,Toba,Alam,4.8,25000,6,"wifi,parkir,toilet,restoran",Destinasi wisata alam unggulan di Toba,-6.020681,99.67182,True,April-Oktober,5,220029
DST0020,Pulau Samosir,Toba,Budaya,4.7,50000,5,"guide,toilet,restoran",Destinasi wisata budaya unggulan di Toba,-5.109502,110.652126,True,April-Oktober,12,932701
DST0021,Pantai Kuta Lombok,Lombok,Pantai,4.7,0,4,"parkir,toilet,warung",Destinasi wisata pantai unggulan di Lombok,-1.400749,96.505789,True,April-Oktober,0,1110580
DST0022,Gunung Rinjani,Lombok,Gunung,4.9,150000,48,"guide,camping",Destinasi wisata gunung unggulan di Lombok,-3.476368,122.761189,True,Sepanjang Tahun,5,1093343
DST0023,Gili Trawangan,Lombok,Bahari,4.7,20000,6,"wifi,toilet,restoran",Destinasi wisata bahari unggulan di Lombok,-5.624591,132.819728,True,Mei-September,0,662590
DST0024,Pantai Tanjung Tinggi,Belitung,Pantai,4.8,15000,3,"parkir,toilet,warung",Destinasi wisata pantai unggulan di Belitung,-4.639733,118.418638,True,April-Oktober,0,170117
DST0025,Pulau Lengkuas,Belitung,Bahari,4.7,200000,6,"perahu,toilet",Destinasi wisata bahari unggulan di Belitung,-5.230685,109.194164,True,Mei-September,0,1376086
DST0026,Kota Tua Jakarta,Jakarta,Sejarah,4.4,5000,3,"wifi,parkir,toilet,guide",Destinasi wisata sejarah unggulan di Jakarta,1.157335,99.710526,True,April-Oktober,5,1369324
DST0027,Kepulauan Seribu,Jakarta,Bahari,4.5,100000,8,"perahu,toilet,restoran",Destinasi wisata bahari unggulan di Jakarta,-0.170573,134.138261,True,April-Oktober,17,1133557
DST0028,Pantai Cemara Wakatobi,Wakatobi,Bahari,4.9,100000,5,"guide,perahu,toilet",Destinasi wisata bahari unggulan di Wakatobi,1.900042,100.236219,True,Sepanjang Tahun,17,1727851
DST0029,Pulau Hoga,Wakatobi,Bahari,4.8,150000,6,"guide,perahu,diving",Destinasi wisata bahari unggulan di Wakatobi,1.311135,119.555491,True,April-Oktober,0,1232176
