interaction_id,user_id,destination_id,tipe_interaksi,skor_interaksi,timestamp,durasi_detik,platform,rating_diberikan,session_id
INT0000058,USR01819,DST0005,view,0.1419,2026-02-20 22:55:41,862.0,Android,,SES315386
INT0000059,USR01886,DST0018,share,0.871,2025-11-22 22:37:41,,iOS,,SES920710
INT0000060,USR01445,DST0004,review,0.8607,2025-11-06 19:34:41,,Android,3.6,SES225022
INT0000061,USR00272,DST0027,review,0.9868,2025-04-22 01:51:41,,Desktop,4.7,SES486402
INT0000062,USR01006,DST0013,bookmark,0.6143,2025-04-03 10:43:41,,Android,,SES789565
INT0000063,USR00777,DST0004,review,0.8568,2025-04-07 22:09:41,,iOS,3.2,SES451813
INT0000064,USR00447,DST0011,view,0.1822,2025-12-20 04:16:41,357.0,Web,,SES275343
INT0000065,USR00662,DST0006,book,1.0,2025-11-18 22:23:41,,Desktop,,SES712105
INT0000066,USR01112,DST0020,book,1.0,2025-08-06 12:00:41,,iOS,,SES161188
INT0000067,USR00063,DST0012,view,0.2182,2026-02-17 07:37:41,379.0,Web,,SES916103
INT0000068,USR01034,DST0010,like,0.5368,2025-10-07 00:12:41,,Web,,SES524771
INT0000069,USR00752,DST0001,bookmark,0.6045,2026-02-12 03:31:41,,iOS,,SES105341
INT0000070,USR01677,DST0013,review,0.9575,2025-12-02 10:13:41,,Android,4.8,SES103597
INT0000071,USR01984,DST0021,share,0.8977,2025-05-05 10:32:41,,iOS,,SES108082
INT0000072,USR00967,DST0014,like,0.644,2025-05-25 02:33:41,,iOS,,SES289772
INT0000073,USR00359,DST0018,like,0.6072,2025-09-14 04:26:41,,Android,,SES386176
INT0000074,USR00189,DST0002,book,1.0,2025-05-05 23:23:41,,iOS,,SES463886
INT0000075,USR01367,DST0001,bookmark,0.7887,2026-02-07 12:01:41,,iOS,,SES965748
INT0000076,USR00016,DST0026,share,0.7719,2025-04-04 09:57:41,,iOS,,SES130629
INT0000077,USR00262,DST0018,view,0.2703,2026-03-14 05:39:41,313.0,Android,,SES743054
INT0000078,USR00682,DST0028,like,0.6021,2025-11-10 09:15:41,,Desktop,,SES401819
INT0000079,USR01501,DST0029,book,1.0,2026-01-21 02:25:41,,Desktop,,SES332797
INT0000080,USR01549,DST0012,share,0.705,2025-11-06 23:06:41,,iOS,,SES202075
INT0000081,USR00455,DST0027,book,1.0,2025-10-06 19:44:41,,Web,,SES679390
INT0000082,USR00662,DST0012,share,0.8536,2025-08-04 01:00:41,,Android,,SES974633
INT0000083,USR00859,DST0020,share,0.8788,2025-12-18 08:24:41,,Desktop,,SES169916
INT0000084,USR01491,DST0002,share,0.8512,2025-04-05 21:49:41,,Web,,SES250891
INT0000085,USR00910,DST0014,view,0.2853,2025-04-12 23:46:41,230.0,Android,,SES636900
INT0000086,USR00575,DST0007,share,0.8226,2025-07-30 04:53:41,,Desktop,,SES289110
INT0000087,USR00662,DST0026,view,0.2063,2025-07-01 04:56:41,9.0,Android,,SES387211
INT0000088,USR00164,DST0015,book,1.0,2026-01-15 22:44:41,,Web,,SES430642
INT0000089,USR00940,DST0010,review,0.8758,2025-06-06 03:34:41,,Web,3.9,SES350779
INT0000090,USR01563,DST0007,like,0.6241,2025-07-05 21:44:41,,iOS,,SES650880
INT0000091,USR00793,DST0008,view,0.1559,2026-03-02 21:52:41,166.0,Android,,SES608950
INT0000092,USR00606,DST0006,review,0.9083,2025-06-12 22:46:41,,iOS,4.2,SES525847
INT0000093,USR00784,DST0020,like,0.6981,2025-09-11 20:37:41,,Android,,SES979756
INT0000094,USR00473,DST0019,like,0.5604,2025-05-30 20:50:41,,Android,,SES804039
INT0000095,USR01199,DST0002,view,0.2153,2025-11-18 22:02:41,68.0,Android,,SES160958
INT0000096,USR01324,DST0001,like,0.6296,2025-09-05 08:09:41,,Web,,SES834017
INT0000097,USR01009,DST0003,review,0.8899,2026-01-26 23:38:41,,Android,3.6,SES917507
INT0000098,USR00705,DST0024,like,0.5469,2025-12-12 21:42:41,,Web,,SES495150
INT0000099,USR00594,DST0015,book,1.0,2025-09-11 02:07:41,,Android,,SES184179
INT0000100,USR01373,DST0015,share,0.7117,2025-11-11 08:28:41,,iOS,,SES127790
INT0000101,USR01606,DST0019,like,0.6643,2026-02-16 22:15:41,,Android,,SES263451
INT0000102,USR00271,DST0008,view,0.235,2025-09-28 11:04:41,442.0,iOS,,SES451587
INT0000103,USR00504,DST0005,like,0.5973,2025-05-24 08:16:41,,Web,,SES778556
INT0000104,USR01050,DST0012,share,0.8692,2025-06-20 19:26:41,,Android,,SES882717
INT0000105,USR00502,DST0015,bookmark,0.7505,2025-07-16 21:37:41,,iOS,,SES372266
INT0000106,USR00896,DST0012,review,0.8254,2025-11-15 03:30:41,,Desktop,4.3,SES311503
INT0000107,USR01642,DST0022,share,0.7682,2025-12-07 23:26:41,,Android,,SES203139
INT0000108,USR01596,DST0009,book,1.0,2025-08-11 00:51:41,,Desktop,,SES931537
INT0000109,USR01796,DST0008,bookmark,0.6366,2025-07-05 02:55:41,,Web,,SES805315
INT0000110,USR00804,DST0011,share,0.7883,2025-10-19 00:34:41,,Web,,SES953693
INT0000111,USR01643,DST0019,bookmark,0.6043,2025-03-17 09:01:41,,iOS,,SES695048
INT0000112,USR00858,DST0011,share,0.8637,2025-10-16 00:12:41,,Desktop,,SES538190
INT0000113,USR01457,DST0016,like,0.5463,2025-07-03 04:07:41,,Web,,SES245209
INT0000114,USR00150,DST0005,review,0.8009,2025-05-29 01:42:41,,Desktop,3.9,SES998661
INT0000115,USR01413,DST0028,book,1.0,2025-12-30 10:18:41,,iOS,,SES491727
INT0000116,USR00239,DST0028,review,0.9299,2025-12-10 23:29:41,,Web,3.9,SES813696
INT0000117,USR01723,DST0005,like,0.629,2026-03-07 03:44:41,,Android,,SES852634
INT0000118,USR01890,DST0013,share,0.7394,2026-02-21 00:18:41,,Desktop,,SES310198
INT0000119,USR00009,DST0004,view,0.2977,2025-04-09 11:42:41,520.0,Web,,SES232645
INT0000120,USR00795,DST0027,bookmark,0.6407,2025-11-01 07:25:41,,iOS,,SES824920
INT0000121,USR01107,DST0020,share,0.7414,2025-09-02 04:02:41,,Web,,SES555989
INT0000122,USR01796,DST0020,like,0.6971,2025-04-09 23:19:41,,iOS,,SES252642
INT0000123,USR00536,DST0020,bookmark,0.7128,2026-02-11 19:28:41,,Android,,SES447919
INT0000124,USR00598,DST0013,view,0.195,2025-04-13 20:37:41,541.0,Android,,SES399726
INT0000125,USR00523,DST0021,view,0.1123,2025-11-30 05:28:41,708.0,iOS,,SES974132
INT0000126,USR00677,DST0007,review,0.8621,2025-08-25 06:56:41,,Android,3.4,SES754799
INT0000127,USR01310,DST0001,view,0.2844,2025-10-31 03:26:41,98.0,Android,,SES262285
INT0000128,USR01820,DST0015,book,1.0,2025-11-16 22:51:41,,Android,,SES211886
INT0000129,USR00750,DST0017,share,0.7226,2025-11-10 07:52:41,,Web,,SES707274
INT0000130,USR01508,DST0023,review,0.8083,2025-08-25 19:45:41,,iOS,3.7,SES367998
INT0000131,USR00731,DST0021,review,0.9091,2025-07-19 06:39:41,,iOS,4.2,SES722085
INT0000132,USR01578,DST0025,review,0.8936,2026-03-08 10:45:41,,Android,3.1,SES446293
INT0000133,USR01105,DST0027,bookmark,0.697,2025-06-25 19:33:41,,Web,,SES314442
INT0000134,USR00323,DST0029,share,0.812,2025-07-23 05:28:41,,Web,,SES950401
INT0000135,USR01513,DST0023,view,0.1329,2025-07-14 20:15:41,562.0,Desktop,,SES957928
INT0000136,USR00391,DST0001,review,0.8016,2025-11-03 02:59:41,,iOS,4.9,SES931896
INT0000137,USR00974,DST0016,share,0.8758,2025-05-25 05:32:41,,Desktop,,SES784167
INT0000138,USR01033,DST0013,like,0.6205,2025-04-08 00:09:41,,Web,,SES247652
INT0000139,USR00397,DST0010,book,1.0,2025-11-17 09:54:41,,Android,,SES894182
INT0000140,USR01268,DST0027,book,1.0,2025-09-23 07:09:41,,Desktop,,SES466862
INT0000141,USR01581,DST0013,share,0.8219,2025-12-08 02:36:41,,Web,,SES916818
INT0000142,USR00545,DST0001,view,0.223,2025-05-24 08:07:41,734.0,Web,,SES305810
INT0000143,USR01599,DST0015,review,0.8152,2025-07-25 03:03:41,,Android,3.9,SES479422
INT0000144,USR01420,DST0010,share,0.7669,2026-01-08 22:29:41,,Web,,SES138946
INT0000145,USR01527,DST0023,view,0.1088,2025-11-27 20:32:41,415.0,Web,,SES687753
INT0000146,USR01172,DST0023,like,0.6689,2025-06-27 02:44:41,,Web,,SES632257
INT0000147,USR01025,DST0023,like,0.6789,2025-11-10 22:16:41,,Web,,SES503076
INT0000148,USR00497,DST0029,book,1.0,2025-07-14 23:25:41,,iOS,,SES196069
INT0000149,USR01931,DST0016,book,1.0,2025-08-20 07:58:41,,Web,,SES376687
INT0000150,USR01758,DST0029,review,0.8005,2025-03-31 23:25:41,,Desktop,4.3,SES190555
INT0000151,USR00623,DST0022,book,1.0,2025-08-05 02:16:41,,iOS,,SES619577
INT0000152,USR01797,DST0004,share,0.829,2025-07-13 06:21:41,,Desktop,,SES986063
INT0000153,USR01343,DST0007,share,0.8624,2025-04-12 21:10:41,,Android,,SES717960
INT0000154,USR00108,DST0017,review,0.8007,2025-08-19 20:35:41,,iOS,3.7,SES392216
INT0000155,USR00133,DST0011,review,0.9243,2025-07-09 21:23:41,,Web,4.4,SES764123
INT0000156,USR00909,DST0014,share,0.8068,2025-12-01 21:32:41,,iOS,,SES807137
INT0000157,USR01301,DST0014,review,0.956,2026-03-07 04:13:41,,Desktop,4.7,SES464361
INT0000158,USR01867,DST0023,like,0.6656,2025-12-20 02:07:41,,iOS,,SES108773
INT0000159,USR01766,DST0020,share,0.8008,2025-05-01 23:11:41,,Web,,SES246728
INT0000160,USR01367,DST0014,review,0.8058,2025-05-07 08:15:41,,Desktop,3.9,SES823600
INT0000161,USR01776,DST0004,review,0.9085,2025-07-03 09:23:41,,iOS,3.9,SES651513
INT0000162,USR01856,DST0022,book,1.0,2025-06-05 10:23:41,,Desktop,,SES280247
INT0000163,USR01213,DST0006,like,0.587,2026-03-08 01:52:41,,Desktop,,SES189784
INT0000164,USR01945,DST0013,bookmark,0.7282,2026-01-19 19:53:41,,Web,,SES708992
INT0000165,USR01196,DST0008,bookmark,0.6647,2025-05-31 08:44:41,,Desktop,,SES498649
INT0000166,USR00607,DST0001,review,0.8049,2025-03-29 22:22:41,,Web,3.2,SES562229
INT0000167,USR00224,DST0029,share,0.714,2026-01-11 07:19:41,,Desktop,,SES467965
INT0000168,USR01642,DST0003,review,0.9051,2025-04-03 21:19:41,,Web,4.5,SES104574
INT0000169,USR01472,DST0020,like,0.6189,2025-11-21 07:04:41,,Desktop,,SES152208
INT0000170,USR01283,DST0008,book,1.0,2025-05-30 06:04:41,,Android,,SES166907
INT0000171,USR01319,DST0017,share,0.8143,2025-10-06 06:33:41,,iOS,,SES269922
INT0000172,USR00466,DST0028,like,0.5422,2025-04-04 20:14:41,,Desktop,,SES769975
INT0000173,USR00401,DST0001,like,0.6571,2025-07-25 09:47:41,,iOS,,SES592383
INT0000174,USR01936,DST0026,book,1.0,2026-03-02 22:15:41,,Web,,SES419894
INT0000175,USR00801,DST0022,review,0.8099,2025-09-25 11:14:41,,iOS,3.7,SES418692
INT0000176,USR00519,DST0012,like,0.6449,2025-12-14 08:46:41,,iOS,,SES798621
INT0000177,USR01531,DST0028,bookmark,0.7123,2025-09-11 09:04:41,,iOS,,SES996192
INT0000178,USR00853,DST0027,share,0.8035,2025-03-30 09:54:41,,Web,,SES650004
INT0000179,USR00965,DST0001,review,0.8817,2026-01-21 02:06:41,,Web,3.6,SES864202
INT0000180,USR00882,DST0020,book,1.0,2025-08-24 20:47:41,,Android,,SES724826
INT0000181,USR00359,DST0018,bookmark,0.7645,2025-06-11 02:00:41,,Android,,SES830797
INT0000182,USR00958,DST0015,like,0.598,2026-02-03 07:06:41,,Android,,SES353429
INT0000183,USR01152,DST0001,view,0.1843,2025-05-20 19:43:41,356.0,Android,,SES789893
INT0000184,USR00379,DST0018,view,0.1623,2025-07-28 03:16:41,234.0,Desktop,,SES750579
INT0000185,USR01759,DST0027,bookmark,0.745,2026-02-14 07:00:41,,Android,,SES388118
INT0000186,USR01780,DST0006,share,0.7298,2026-02-23 08:21:41,,iOS,,SES945282
INT0000187,USR01368,DST0012,view,0.2384,2026-02-24 06:46:41,304.0,Web,,SES184145
INT0000188,USR00532,DST0021,share,0.8252,2025-08-26 22:29:41,,Desktop,,SES797892
INT0000189,USR01848,DST0010,bookmark,0.7369,2025-10-13 23:54:41,,iOS,,SES670232
INT0000190,USR01731,DST0004,share,0.7191,2025-04-28 06:17:41,,Desktop,,SES492746
INT0000191,USR01973,DST0014,book,1.0,2025-06-11 08:25:41,,Web,,SES651256
INT0000192,USR00243,DST0017,book,1.0,2025-07-11 22:02:41,,Desktop,,SES352181
INT0000193,USR00042,DST0026,like,0.6195,2025-04-14 04:45:41,,Android,,SES846876
INT0000194,USR00676,DST0024,review,0.9354,2025-10-15 09:38:41,,Android,4.9,SES897535
INT0000195,USR00441,DST0009,like,0.6062,2025-09-06 22:06:41,,Web,,SES781797
INT0000196,USR00312,DST0002,like,0.6632,2025-05-28 01:14:41,,iOS,,SES212267
INT0000197,USR00505,DST0009,like,0.6534,2025-04-15 23:09:41,,Web,,SES407027
INT0000198,USR01210,DST0001,book,1.0,2026-02-09 04:39:41,,Desktop,,SES744913
INT0000199,USR00763,DST0008,view,0.2773,2025-11-16 23:07:41,662.0,Android,,SES436271
INT0000200,USR00033,DST0014,like,0.5229,2025-09-03 22:22:41,,Desktop,,SES324006
INT0000201,USR01756,DST0006,review,0.8107,2025-11-27 10:38:41,,iOS,3.3,SES722543
INT0000202,USR01127,DST0008,share,0.7436,2025-11-16 23:13:41,,Android,,SES476422
INT0000203,USR00281,DST0019,review,0.9701,2026-01-24 21:47:41,,iOS,3.1,SES387481
INT0000204,USR00651,DST0002,view,0.2618,2025-12-06 02:59:41,511.0,Android,,SES323395
INT0000205,USR01526,DST0010,book,1.0,2025-10-03 20:39:41,,Android,,SES385423
INT0000206,USR00018,DST0020,book,1.0,2026-01-28 21:58:41,,iOS,,SES351756
INT0000207,USR01616,DST0014,review,0.933,2025-10-29 00:28:41,,Android,4.7,SES428804
INT0000208,USR00206,DST0008,like,0.512,2025-07-13 00:47:41,,iOS,,SES282255
INT0000209,USR00065,DST0025,review,0.8773,2025-05-16 08:38:41,,Desktop,4.7,SES349098
INT0000210,USR01101,DST0019,book,1.0,2025-09-24 19:53:41,,Web,,SES779494
INT0000211,USR00996,DST0014,share,0.7162,2025-05-04 20:54:41,,Android,,SES578939
INT0000212,USR00234,DST0014,like,0.573,2026-01-19 05:30:41,,iOS,,SES327217
INT0000213,USR00940,DST0001,review,0.8161,2025-07-28 04:47:41,,Web,4.9,SES540732
INT0000214,USR01241,DST0016,like,0.5688,2025-10-20 10:29:41,,iOS,,SES560524
INT0000215,USR00914,DST0024,book,1.0,2025-10-18 03:01:41,,Web,,SES520260
INT0000216,USR00219,DST0005,book,1.0,2025-03-27 06:47:41,,Desktop,,SES317551
INT0000217,USR00940,DST0004,like,0.6704,2025-06-06 23:37:41,,Web,,SES799627
INT0000218,USR00780,DST0003,bookmark,0.6763,2025-07-03 19:42:41,,Android,,SES175097
INT0000219,USR01650,DST0015,share,0.8342,2025-08-13 11:38:41,,Android,,SES730157
INT0000220,USR00813,DST0018,book,1.0,2025-09-29 05:48:41,,Desktop,,SES721968
INT0000221,USR01046,DST0029,share,0.8559,2025-03-29 03:58:41,,iOS,,SES610049
INT0000222,USR01399,DST0020,book,1.0,2025-06-15 00:13:41,,Android,,SES793444
INT0000223,USR01319,DST0006,share,0.756,2025-07-27 20:48:41,,iOS,,SES707135
INT0000224,USR00193,DST0003,review,0.9037,2025-03-24 21:58:41,,Android,3.9,SES711727
INT0000225,USR01583,DST0013,book,1.0,2025-12-06 04:17:41,,Desktop,,SES398696
INT0000226,USR01192,DST0020,share,0.8736,2025-05-16 22:41:41,,Desktop,,SES928928
INT0000227,USR00688,DST0014,bookmark,0.724,2025-03-19 08:28:41,,Desktop,,SES321521
INT0000228,USR01295,DST0026,book,1.0,2025-10-09 02:17:41,,Android,,SES276331
INT0000229,USR01222,DST0015,bookmark,0.6356,2025-10-15 05:02:41,,Desktop,,SES328504
INT0000230,USR01000,DST0018,review,0.9379,2026-01-10 20:49:41,,iOS,4.4,SES219357
INT0000231,USR01564,DST0007,book,1.0,2026-02-27 00:31:41,,Desktop,,SES332577
INT0000232,USR01644,DST0023,like,0.5241,2025-12-09 05:41:41,,Android,,SES890954
INT0000233,USR01737,DST0002,bookmark,0.6485,2025-08-13 06:57:41,,Web,,SES627981
INT0000234,USR00461,DST0011,book,1.0,2025-12-19 22:33:41,,Desktop,,SES991930
INT0000235,USR00571,DST0024,like,0.5308,2025-05-08 10:15:41,,Web,,SES173127
INT0000236,USR01708,DST0020,book,1.0,2025-07-23 11:19:41,,Desktop,,SES288223
INT0000237,USR01853,DST0004,book,1.0,2025-10-03 03:00:41,,Web,,SES475398
INT0000238,USR00529,DST0004,like,0.611,2025-04-10 02:24:41,,Desktop,,SES726855
INT0000239,USR00820,DST0017,book,1.0,2026-02-16 04:47:41,,Desktop,,SES242198
INT0000240,USR01290,DST0009,book,1.0,2025-11-05 11:04:41,,iOS,,SES444585
INT0000241,USR01333,DST0025,view,0.1837,2025-11-10 02:23:41,444.0,Desktop,,SES130181
INT0000242,USR00980,DST0023,like,0.6314,2025-06-15 04:32:41,,iOS,,SES777735
INT0000243,USR00350,DST0024,bookmark,0.7759,2025-04-15 09:07:41,,iOS,,SES293805
INT0000244,USR01503,DST0008,share,0.8089,2025-08-20 04:41:41,,iOS,,SES410935
INT0000245,USR01559,DST0018,bookmark,0.6062,2025-09-18 20:08:41,,Web,,SES560553
INT0000246,USR00843,DST0012,book,1.0,2025-09-03 08:41:41,,Android,,SES742450
INT0000247,USR01644,DST0019,bookmark,0.6385,2025-06-21 09:26:41,,Web,,SES426155
INT0000248,USR01702,DST0021,like,0.565,2025-06-14 08:19:41,,Android,,SES799816
INT0000249,USR01847,DST0027,view,0.1054,2026-01-04 00:26:41,654.0,iOS,,SES353610
INT0000250,USR00984,DST0013,book,1.0,2025-06-08 06:38:41,,iOS,,SES663357
INT0000251,USR00786,DST0003,review,0.9509,2026-01-19 20:17:41,,iOS,4.6,SES420385
INT0000252,USR00260,DST0009,book,1.0,2025-06-19 03:50:41,,iOS,,SES311363
INT0000253,USR01651,DST0010,book,1.0,2025-05-06 11:48:41,,Desktop,,SES742036
INT0000254,USR00522,DST0024,view,0.2015,2025-12-27 00:48:41,640.0,iOS,,SES681419
INT0000255,USR00676,DST0011,view,0.19,2025-06-06 12:15:41,641.0,Web,,SES738350
INT0000256,USR00558,DST0029,share,0.7854,2025-10-17 04:44:41,,iOS,,SES438392
INT0000257,USR01231,DST0004,share,0.8605,2025-03-16 21:12:41,,Web,,SES387277
INT0000258,USR00280,DST0018,review,0.9459,2026-02-08 08:06:41,,Desktop,4.0,SES554702
INT0000259,USR00881,DST0015,review,0.8213,2026-03-07 20:19:41,,Desktop,4.2,SES189132
INT0000260,USR01734,DST0009,review,0.9597,2025-07-26 09:30:41,,Web,3.8,SES969551
INT0000261,USR00735,DST0014,share,0.8086,2025-03-24 22:48:41,,Desktop,,SES794352
INT0000262,USR00600,DST0009,review,0.9939,2025-09-19 09:00:41,,Web,3.0,SES391754
INT0000263,USR00664,DST0025,view,0.2291,2025-07-10 10:45:41,323.0,Android,,SES242306
INT0000264,USR01690,DST0023,book,1.0,2026-03-09 01:21:41,,Web,,SES940472
INT0000265,USR00913,DST0004,bookmark,0.6661,2025-07-16 06:19:41,,Desktop,,SES548614
INT0000266,USR01525,DST0006,share,0.7143,2025-07-20 12:05:41,,Web,,SES700802
INT0000267,USR00501,DST0025,book,1.0,2025-09-10 02:25:41,,Android,,SES122791
INT0000268,USR01577,DST0003,like,0.6156,2026-02-10 01:24:41,,Web,,SES773920
INT0000269,USR01886,DST0017,bookmark,0.7416,2025-11-12 21:21:41,,iOS,,SES506104
INT0000270,USR00671,DST0014,like,0.5389,2025-07-01 03:49:41,,Desktop,,SES883504
INT0000271,USR01513,DST0023,like,0.6074,2025-10-26 08:29:41,,Desktop,,SES848750
INT0000272,USR01725,DST0024,view,0.1897,2025-09-13 09:53:41,443.0,iOS,,SES808000
INT0000273,USR00847,DST0029,like,0.6886,2026-01-23 11:16:41,,Desktop,,SES377837
INT0000274,USR01605,DST0016,bookmark,0.73,2026-03-14 05:32:41,,Web,,SES989655
INT0000275,USR00390,DST0015,book,1.0,2025-07-15 10:48:41,,Desktop,,SES540288
INT0000276,USR01142,DST0016,bookmark,0.6045,2025-09-11 21:43:41,,Desktop,,SES467769
INT0000277,USR00410,DST0010,view,0.1152,2026-01-26 21:14:41,38.0,Android,,SES698711
INT0000278,USR01744,DST0009,book,1.0,2025-08-10 03:45:41,,iOS,,SES650852
INT0000279,USR01964,DST0026,bookmark,0.6492,2026-02-23 23:50:41,,Desktop,,SES133440
INT0000280,USR01293,DST0022,book,1.0,2025-12-31 21:28:41,,Android,,SES871345
INT0000281,USR00503,DST0027,bookmark,0.6723,2026-03-02 12:00:41,,Desktop,,SES974038
INT0000282,USR00644,DST0003,view,0.2095,2025-08-03 07:51:41,83.0,Web,,SES865634
INT0000283,USR00628,DST0016,share,0.8296,2026-02-19 19:41:41,,Desktop,,SES868687
INT0000284,USR01196,DST0014,share,0.8095,2026-01-22 20:11:41,,Web,,SES846601
INT0000285,USR00273,DST0012,share,0.8054,2025-08-03 01:08:41,,iOS,,SES825253
INT0000286,USR00475,DST0001,book,1.0,2025-08-23 04:17:41,,Desktop,,SES813460
INT0000287,USR00496,DST0020,review,0.8134,2025-04-29 07:48:41,,Android,3.6,SES422466
INT0000288,USR00924,DST0028,like,0.6182,2025-09-04 00:40:41,,Desktop,,SES413767
INT0000289,USR01771,DST0010,like,0.5655,2026-02-22 01:22:41,,iOS,,SES921130
INT0000290,USR01034,DST0016,book,1.0,2025-10-09 08:43:41,,Desktop,,SES602337
